flight_id,total_revenue
9378,9946600
9826,9917500
26231,9903300
9330,9897100
9355,9897000
5279,9861600
9908,9844800
9937,9844800
9344,9841400
5283,9839200
5288,9839200
26222,9828800
9346,9828300
9898,9825200
5275,9797200
25247,9794400
9349,9791500
5299,9788800
9857,9786600
26267,9779300
26270,9772700
9354,9772500
9362,9766500
9909,9744000
9911,9744000
9901,9721600
5285,9718800
26268,9717000
26225,9710600
5250,9710400
5276,9702000
5244,9682400
25218,9665900
9919,9657200
26239,9654900
9372,9642600
5301,9637600
25228,9621600
25230,9621600
25256,9617200
9932,9615200
5248,9604000
9828,9585500
25214,9577300
5273,9550800
9326,9533000
25241,9524200
1330,9516900
5267,9503200
9889,9492000
25261,9488700
5255,9486400
9896,9469600
258,9440300
9301,9435600
25209,9435600
25245,9435600
9916,9433200
9348,9412400
9882,9410800
26259,9406400
26220,9400300
9300,9400100
9888,9388400
26192,9379000
9917,9371600
5290,9360400
25232,9355800
9382,9344400
5296,9340800
9387,9332100
9377,9326000
9925,9324000
9894,9321200
25235,9307100
5281,9293200
9927,9287600
26246,9282200
26232,9276400
9341,9276100
9295,9262800
9302,9262800
2372,9262200
9298,9258400
9920,9245600
9386,9239100
9285,9222900
9933,9217600
9365,9201700
9292,9169800
285,9169700
9361,9164400
5242,9144800
25212,9134300
9310,9129900
9903,9119600
9890,9091600
9885,9080400
287,9055400
25231,9041300
9271,9036900
9939,9032800
5300,9030000
279,9016400
25210,9001400
5252,8993600
26207,8954700
9303,8908400
9337,8897100
5298,8881600
25244,8864100
9318,8859700
9289,8824200
9312,8819800
9323,8806600
26244,8785900
9324,8779900
26264,8773400
25224,8766700
26186,8764000
9269,8731200
5266,8688400
9286,8686900
9325,8686900
25234,8686900
25250,8686900
25246,8682500
9313,8682500
266,8678800
9390,8667900
9350,8643000
9281,8642600
9296,8642600
9297,8642600
25259,8642600
18244,8642600
9270,8638200
9278,8633800
9327,8633800
9381,8599600
9274,8598300
9280,8558400
9309,8558400
9329,8549600
25243,8540800
26223,8537600
5249,8531600
25249,8509700
25253,8505300
9931,8486800
25221,8461000
9938,8436400
1324,8371600
9322,8368000
9364,8350600
9374,8344600
9915,8332800
1318,8304000
9306,8283800
25215,8270600
9875,8266000
25222,8243900
5294,8226400
1319,8222600
9385,8214600
5295,8190000
9311,8186400
9934,8167600
25227,8159700
25267,8150900
9922,8150800
9273,8111000
9328,8106600
25248,8102200
9272,8097800
9356,8090300
9870,8090300
9299,8071100
9316,8071100
9308,8062300
5271,8044400
9379,8034200
25217,8009200
9928,7968800
9332,7966200
25262,7964900
25254,7933800
9290,7929400
9319,7929400
9347,7922600
26234,7916600
26227,7910300
26217,7878200
25216,7876300
25238,7832000
9284,7796500
26233,7779700
5256,7764400
9893,7753200
9865,7738900
278,7719200
25226,7712300
9358,7711400
251,7702500
9867,7680300
255,7674600
245,7632600
288,7616000
9276,7575000
18234,7544700
5265,7515200
9913,7487200
1310,7483900
1325,7483300
9339,7475500
25208,7473200
18240,7348100
277,7337100
5277,7333200
5297,7330400
9904,7288400
5247,7176400
18254,7130900
9902,7078400
25266,7074500
9850,7024600
2379,6961900
26183,6961900
9352,6929400
5289,6904800
25242,6892900
18089,6867500
18236,6866800
9279,6861800
303,6846100
9321,6808700
2327,6789800
18038,6727800
9359,6724400
5976,6661600
1322,6656200
5260,6624800
26254,6600200
25236,6556100
25251,6551700
26175,6537600
1317,6527600
25229,6503000
26197,6488500
26206,6476100
9914,6465200
5274,6456800
5302,6437200
9336,6413600
26203,6353100
5330,6304900
26195,6297800
5324,6287600
5362,6273500
5320,6269000
5286,6255200
10908,6241600
5360,6231300
26258,6227700
5356,6222700
5278,6221600
26269,6214900
26174,6211500
5325,6204100
10916,6202500
5355,6178500
18246,6175200
5329,6155600
30579,6148600
10922,6144000
5344,6141000
5311,6132300
5307,6131100
5306,6128200
5333,6125000
5328,6121000
18237,6114100
30622,6109500
10914,6108100
18243,6101000
26235,6097000
9856,6078900
5303,6077400
10907,6070500
5353,6059600
18256,6053100
5339,6052000
10898,6020100
10888,6014600
5251,6003200
5312,6002000
7737,6000100
10876,5998700
5336,5997200
7738,5996100
10905,5991500
18061,5990800
5981,5990700
1333,5978800
5322,5975700
7759,5971200
30582,5971100
5341,5961300
18002,5947200
5351,5946900
5342,5939800
10878,5928300
5348,5928200
9370,5923600
30620,5921700
10884,5918100
9846,5900300
10873,5892100
10932,5892100
5317,5889600
5347,5887800
19945,5883500
5332,5872100
10882,5860700
18081,5858000
10906,5846300
25233,5842900
30626,5841900
7770,5833500
5254,5810000
5991,5804700
10929,5803000
7728,5802300
5346,5797300
10915,5795900
7755,5795400
10894,5794400
2378,5793400
26185,5793400
18049,5791400
18059,5791400
10923,5758800
10896,5758300
7765,5751200
10927,5743900
7721,5738500
19946,5728300
7722,5720000
9369,5718500
5990,5718400
5308,5711000
7736,5708600
10903,5702200
10924,5701100
7776,5699800
30611,5688900
26214,5676600
26242,5668900
5314,5667800
6034,5665100
30593,5652600
10913,5645200
7748,5624700
10875,5612800
1268,5607600
7734,5606400
10874,5600400
6024,5591800
7749,5588200
6015,5585300
7735,5585200
7766,5580900
5327,5578600
1326,5572000
7753,5571200
30592,5568800
30577,5566500
30588,5565600
7742,5562900
7718,5554500
5310,5551100
30604,5550500
10925,5538600
30597,5537400
30632,5535900
7739,5530400
7741,5530400
19948,5527500
5321,5525400
10902,5522400
11861,5520800
11870,5520800
11890,5520800
1311,5517800
10931,5515300
7725,5507800
9823,5506800
30591,5503900
30596,5502600
7772,5499700
1314,5497600
5331,5496600
7773,5492700
11852,5485500
10899,5480800
7769,5480200
25252,5479700
7754,5478700
30575,5477500
30617,5470600
30618,5469100
30581,5467700
5985,5459300
18052,5459100
10886,5457500
30600,5456300
6023,5452700
7757,5442100
30631,5429800
7777,5428300
7747,5418400
19943,5417400
7764,5415800
9912,5415200
11875,5414900
10904,5400900
5979,5399600
30628,5395700
10912,5382000
18248,5375500
25280,5344300
10918,5337300
7720,5335800
6010,5333200
7762,5322700
18040,5319700
6028,5313000
30634,5307900
18257,5307600
18252,5307500
5319,5306800
11869,5305500
7771,5292300
10933,5282600
30586,5279500
11839,5273700
11884,5273700
30624,5264100
30633,5254900
30605,5248700
2360,5239900
11876,5238400
1321,5233300
9910,5210800
7761,5210700
10885,5205000
6003,5200100
25298,5196100
5994,5193500
18043,5187000
9305,5174000
11840,5167800
11864,5167800
11867,5167800
25279,5167800
26253,5165700
26276,5165700
1278,5134800
18013,5134800
25286,5132500
18092,5127200
5996,5126900
25292,5125500
30583,5103000
25278,5097200
25307,5097200
30607,5094600
17974,5081400
17982,5074800
1279,5074800
13827,5072800
11849,5061900
11865,5061900
11851,5058400
25284,5058400
25306,5058400
30614,5040400
9923,5040000
1308,5029800
9845,5027000
11835,5026600
25300,5026600
25308,5026600
25309,5026600
30590,5026200
18238,5023200
1323,5016200
18091,5001100
18042,4994400
25319,4991300
11859,4991300
25274,4987800
25318,4987800
7744,4987100
10879,4981900
5549,4973000
263,4960200
11887,4956000
18024,4948200
18021,4941600
18036,4928000
6022,4927700
11871,4917200
30576,4912600
9906,4911200
18251,4900800
1332,4887300
25282,4885400
25315,4885400
25327,4885400
11877,4881900
5999,4868100
6013,4861800
18054,4861400
18070,4861300
9827,4859600
18035,4855000
6011,4854700
25273,4850100
25317,4850100
11844,4850100
5316,4846300
30615,4840000
13840,4839800
9873,4820700
11874,4811300
5569,4806500
13842,4803100
6021,4801700
1303,4795200
6018,4795200
6033,4788500
11848,4779500
11854,4779500
25289,4779500
25313,4779500
5246,4776800
25316,4776000
5595,4773300
13831,4773200
11891,4772500
5563,4770000
13875,4769900
13862,4769800
5585,4766700
11886,4744200
1254,4741800
11873,4740700
5584,4740000
13837,4739900
5565,4739800
5577,4736700
13865,4736700
5592,4736500
5977,4728900
5997,4728600
7775,4725700
30584,4721700
30610,4708900
11860,4708900
25288,4708900
25293,4708900
25310,4708900
13880,4706600
13870,4706500
7730,4706300
11882,4705400
11888,4705400
5558,4703300
13886,4703200
11885,4701900
25269,4701900
5359,4690700
1258,4675200
5551,4673600
25287,4673600
9317,4673500
5983,4655500
9884,4650800
4210,4649000
4254,4648500
10917,4646500
11837,4638300
5552,4636900
25239,4629200
7732,4626900
1327,4623200
18247,4616400
30619,4615300
5593,4606900
5604,4606800
13856,4606800
5572,4603400
25295,4603000
18001,4602000
6007,4595900
5980,4595800
6008,4595700
9834,4577900
13859,4573500
13869,4573500
5587,4573500
252,4569700
30621,4567800
25297,4564200
1272,4548600
18027,4548600
18253,4548500
18233,4548400
13845,4540300
5591,4540200
1289,4535400
25299,4532400
11853,4532400
11883,4532400
1255,4528800
18271,4527300
18068,4523000
18085,4522600
5578,4507100
5567,4506900
13883,4503700
5343,4497900
25268,4493600
9353,4482600
9930,4480000
13879,4473800
7726,4473700
13860,4473700
5574,4473700
5602,4470600
5599,4470300
6002,4469700
18047,4469700
1288,4468800
18041,4463300
18071,4463100
25294,4461800
25276,4458300
18065,4456400
30598,4450300
5564,4440300
13834,4437100
5607,4433800
9366,4426800
1300,4408800
13826,4403800
5982,4403200
5974,4390100
18074,4389800
18066,4389700
18090,4383400
30635,4375800
13878,4373800
13843,4373700
13839,4370500
5581,4370500
5318,4357500
7727,4355400
1276,4348800
7717,4343600
21829,4343500
1306,4342200
13855,4340700
13847,4340500
5547,4340400
9843,4338100
5978,4337000
13829,4333900
9841,4332500
6016,4323400
4232,4314000
9935,4312000
5597,4307200
9880,4306400
14590,4285400
1312,4284200
11833,4281800
1273,4275600
1296,4275600
1301,4275600
5605,4273900
17504,4268300
5554,4267300
3476,4262900
1298,4262400
14573,4255000
25303,4246500
14559,4243500
5575,4237600
5337,4233900
14558,4224600
7723,4216400
18245,4216300
1269,4215600
3502,4215100
25323,4211200
1262,4209000
25324,4207700
11880,4207700
6493,4207400
7763,4204400
17999,4202400
14567,4201600
18083,4197200
6006,4197000
4211,4191500
18034,4190600
7768,4189400
3486,4174600
5589,4174200
13866,4174200
7719,4172100
9879,4172000
9861,4170600
1477,4169600
1473,4169500
14536,4152100
1260,4149000
1259,4142400
18026,4142400
5606,4140900
11862,4140600
14570,4138300
5590,4137500
1284,4135800
18060,4130900
18045,4130800
5975,4130600
18010,4129200
5309,4126900
2368,4126700
18039,4124400
18057,4124000
9858,4123300
1342,4123100
3474,4115800
14555,4112600
10881,4109900
14538,4109100
13841,4107500
13844,4104200
25264,4102000
5340,4095100
3520,4091200
1337,4089300
3488,4083200
3487,4082800
14562,4082100
4212,4081900
5570,4074300
18082,4071100
6014,4064600
3517,4064400
4250,4063300
14589,4059800
6012,4057800
14566,4049500
30629,4047200
30613,4043600
3504,4043100
25301,4034700
14545,4028800
3479,4025700
1481,4024400
3496,4017500
3469,4005000
9314,4004600
17996,4002600
1315,3999400
4249,3998600
5988,3998400
14577,3994100
14556,3993300
5352,3991700
14591,3988700
3506,3987200
3467,3985000
25225,3973500
3522,3972500
1475,3968800
14578,3965100
11889,3960600
3521,3960500
14549,3959000
14552,3947700
1313,3945100
14554,3941500
13857,3937900
9897,3936800
3516,3936000
13876,3934700
6030,3932000
14547,3931200
26238,3924300
14587,3920300
17468,3919800
3481,3905600
13832,3904500
3510,3897700
3477,3897600
3463,3897200
9829,3897200
21834,3892600
11842,3890000
14574,3889600
3500,3886800
4229,3876300
4244,3876100
14541,3869400
18050,3865300
6019,3865300
18051,3865100
3514,3863500
3464,3862300
14593,3857700
3499,3857300
3492,3843600
6494,3843000
264,3841500
3508,3839900
5345,3838500
6203,3835600
14550,3833100
14533,3831600
14535,3829800
5555,3827900
14583,3821600
3505,3814200
10877,3813500
5269,3808000
4245,3805200
26614,3805100
1275,3802800
1295,3802800
1304,3802800
3471,3802500
9883,3802400
18064,3798700
26278,3793500
3462,3792300
3466,3791100
3518,3784600
3480,3778800
3468,3771200
3498,3770900
3485,3753300
1256,3742800
1290,3742800
18011,3742800
4226,3740800
5576,3738200
17991,3736200
17998,3736200
18022,3736200
9936,3735200
13871,3734700
3490,3731100
14569,3730000
6004,3725900
14537,3723200
17499,3720300
3495,3717000
7751,3708900
5548,3705000
13835,3704600
3497,3703400
19547,3702800
2352,3702400
4252,3695800
10897,3691100
17507,3689700
17976,3682800
14581,3678800
4200,3676500
1264,3676200
14560,3676200
13881,3674800
6199,3673800
1281,3669600
17984,3669600
3475,3663400
18075,3659300
6489,3657700
1343,3651600
14584,3647100
25321,3642900
13858,3634900
27633,3634100
19923,3630100
3491,3627300
19537,3624000
6186,3623600
17474,3617300
17983,3616200
17484,3613300
18084,3606200
14542,3606000
25213,3605900
27628,3604200
27637,3604200
7153,3604200
1249,3603000
1270,3603000
1282,3603000
21831,3602200
18078,3599900
14571,3593600
6177,3586500
6219,3586500
5984,3586400
18270,3584300
6488,3583600
6191,3582500
17491,3578800
19944,3578200
7156,3574300
13853,3571900
17502,3571100
6178,3569900
9881,3567200
5287,3558800
1283,3549600
25105,3549400
299,3548700
6216,3545100
7164,3544300
27621,3544300
1277,3543000
1217,3540500
25296,3540500
11879,3540500
1250,3536400
18056,3533100
1220,3532900
1305,3529800
17978,3529800
17981,3529800
14561,3529000
3511,3525900
6005,3519900
3473,3498800
5603,3498400
4236,3496100
26256,3495600
6174,3495000
5315,3490900
14568,3490600
3512,3487200
5305,3487000
1335,3482800
10919,3482300
18016,3476400
5568,3474800
14575,3470800
1261,3469800
1267,3469800
19579,3466200
18023,3463200
19559,3462000
6495,3460200
18249,3457100
1161,3456400
6017,3453400
30571,3453100
1175,3452300
30536,3439500
296,3423100
26600,3419000
19584,3416400
19557,3416300
26592,3412500
6184,3412300
19578,3412200
6492,3410700
18017,3409800
14546,3407100
5559,3405100
1294,3403200
25283,3395800
30556,3383900
5323,3382400
17477,3379400
19555,3379100
6189,3378900
6228,3378900
18262,3378800
1196,3375700
19542,3374800
19950,3367700
10930,3365100
7167,3364900
9929,3357200
17973,3356400
20241,3355000
26605,3354500
26609,3354500
4195,3354400
17510,3345200
1189,3344800
18028,3343200
5304,3341900
17464,3341200
17972,3336600
18014,3336600
5995,3334000
6027,3333900
1209,3333400
25320,3328700
11846,3328700
6843,3315800
1573,3313300
6834,3312700
1208,3310900
30606,3307600
3472,3306700
13846,3305600
17469,3302700
1211,3298800
6175,3296000
5596,3295300
19538,3291800
26571,3290300
25311,3282900
1336,3281000
18264,3277700
17987,3276600
17493,3268500
1178,3264500
18073,3260800
1197,3260700
6180,3258500
14539,3256800
19558,3254400
7157,3245300
5583,3242100
1170,3234100
17485,3229900
9335,3228600
9830,3227700
20863,3227200
1564,3227200
1210,3226300
26589,3225700
19947,3217200
27588,3209700
19576,3208500
20890,3198600
1271,3196800
18037,3194500
1167,3191900
17494,3191800
1190,3191700
1174,3191500
18055,3187900
10887,3186600
25304,3184000
4242,3174300
26582,3174200
1600,3169900
6836,3169800
18276,3169800
6229,3167300
25257,3167300
30558,3167300
6213,3167200
19533,3167200
6179,3167000
30569,3166400
1551,3164200
26612,3161300
19924,3160400
6207,3159000
30537,3155200
17472,3153600
17473,3153500
30557,3152600
1171,3145700
3503,3144300
1274,3143400
18012,3143400
18058,3141500
20875,3141200
1586,3141100
18259,3139500
18268,3136200
5556,3132500
17993,3130200
6020,3127900
19550,3125600
30516,3123900
20884,3112500
1570,3112400
1598,3112400
26617,3110000
13854,3105600
1177,3103600
5601,3098900
21833,3095500
27600,3093300
10911,3088500
4731,3087100
4708,3084600
19571,3084100
1562,3083800
1603,3083800
11850,3081600
1602,3081100
1169,3080800
6206,3079900
6234,3079800
11881,3078100
17470,3076800
18004,3076800
18009,3076800
19525,3075900
19527,3075900
13850,3075800
30535,3073600
1188,3073000
1339,3071900
6210,3071600
4693,3069600
1181,3069000
18260,3069000
1186,3065200
4723,3057400
18239,3057400
1590,3055300
30539,3043700
19566,3042800
6204,3042700
6192,3042600
6215,3042600
19551,3042600
4247,3039200
19541,3038500
4216,3032700
4228,3032700
26559,3032600
17492,3030600
2169,3030200
4697,3030100
26590,3026400
1561,3026300
4251,3026100
2448,3021100
30609,3020600
27035,3018200
4722,3014900
1480,3011900
9876,3010200
5573,3005800
5588,3002500
5263,3001600
1553,2997700
1180,2996200
17501,2996100
5264,2996000
1556,2995000
5993,2995000
20895,2994900
20899,2994900
25107,2994500
30540,2991900
4751,2990500
9891,2990400
27037,2986500
7165,2976200
4222,2974900
4213,2974800
1349,2974500
4203,2974500
27586,2973600
30542,2973000
1350,2970900
1559,2969200
20851,2969200
1585,2969100
5580,2969100
20869,2969000
1592,2968900
6231,2968100
1345,2967600
6181,2964000
25106,2962200
19572,2955500
2461,2954700
2150,2952600
4743,2950900
7746,2942100
11836,2940400
1595,2940400
2134,2938600
4712,2937600
20879,2937600
1555,2937500
1292,2937000
17985,2937000
25255,2937000
6833,2932900
4746,2931900
24094,2927300
1168,2927200
1201,2923400
1183,2919600
30515,2919500
6194,2918200
21836,2916400
17457,2915700
1203,2915600
6195,2913800
6183,2913700
2484,2911100
26574,2910300
20866,2908900
25104,2906900
4737,2906000
4230,2903900
4231,2903900
30819,2902100
14548,2901200
25103,2900700
26567,2897800
4720,2896800
26215,2896700
11843,2894600
24122,2893400
19554,2885200
19560,2885100
17971,2883600
18008,2883600
7162,2883500
7154,2883400
4734,2882900
2119,2882800
4706,2881600
17497,2881500
4715,2881400
30555,2881400
1184,2881300
17506,2881300
6230,2880900
30546,2877300
18007,2877000
2454,2876500
4705,2869400
5550,2869200
9357,2868600
4709,2868000
18267,2866700
30554,2866700
30563,2866600
4713,2866600
4717,2865500
30544,2865500
4718,2865300
1474,2861600
30602,2857000
27635,2856500
4696,2854600
1328,2853800
4749,2853200
30525,2851500
20842,2851500
2168,2848200
2165,2848000
4248,2846200
20845,2845700
6830,2845400
17514,2843200
30532,2840800
4246,2839700
30547,2839500
26557,2839400
19548,2839400
17498,2839100
10892,2838100
19575,2835100
26580,2833200
4208,2833200
19583,2830900
19574,2826800
27624,2826700
7158,2826600
5539,2826300
30523,2826000
4745,2825800
20876,2825600
14469,2823800
1554,2822800
1550,2822700
1596,2820200
24119,2812100
30526,2811900
3470,2809600
18261,2809200
19949,2806500
246,2806400
17481,2804700
1182,2804500
25305,2802700
24095,2802000
13475,2801700
1193,2800800
19530,2797700
4729,2797200
4702,2797000
20843,2794100
20874,2794100
20902,2794000
6211,2793600
27627,2790800
6221,2789400
24141,2788100
13488,2787700
4710,2785000
4741,2784900
4730,2783500
4221,2775200
17515,2774200
25102,2773500
4701,2772800
4703,2772700
20242,2771200
13830,2769500
4218,2768800
4209,2768700
2127,2767100
2120,2766900
17503,2766600
1166,2766300
17466,2766200
1593,2765400
24103,2764900
1545,2762600
2474,2761400
30573,2759400
4721,2759100
4714,2756400
2449,2755100
14544,2755100
13455,2754500
2154,2753200
25090,2747200
1252,2743800
6225,2743700
19582,2743600
4719,2743000
14461,2742000
5486,2741600
1572,2739700
1338,2738700
20857,2733800
5258,2732800
13497,2732200
1207,2731900
4699,2730500
18046,2729800
1213,2727900
1202,2727700
10900,2727500
14592,2724500
1198,2724200
5989,2723200
30587,2723000
11855,2721600
24090,2720800
24121,2719300
5526,2719300
14585,2718900
2166,2718500
18235,2718400
24113,2718300
5544,2718200
26593,2717000
30560,2715800
19569,2714800
30608,2713500
26615,2710900
26558,2710800
19531,2710700
2136,2709200
24130,2709000
1576,2708000
20881,2705200
4716,2704900
4217,2704600
26562,2704400
26561,2704300
4196,2704300
4225,2704300
27630,2703900
4732,2703400
4727,2703200
10901,2703200
30827,2702700
4700,2701600
4725,2700900
13852,2699700
30623,2697900
20247,2697400
5508,2695900
5535,2695500
5521,2694500
13500,2694400
4742,2692500
5543,2692100
20240,2690700
30548,2690000
11872,2689800
4740,2688500
1219,2685900
17486,2685900
30568,2685800
20246,2684000
24120,2683700
5529,2682600
1563,2679300
4736,2677300
1287,2677200
1581,2676700
1582,2676600
5498,2672000
24126,2672000
2139,2671800
24108,2671200
2164,2671000
1302,2670600
13882,2663000
2143,2662000
6214,2660700
26576,2659200
280,2658600
17490,2655400
5354,2652800
1172,2651400
1574,2650700
11065,2650300
13458,2649800
24127,2648700
5540,2648600
13483,2648500
20852,2647900
1194,2647500
30567,2645600
7152,2644100
2472,2639100
2148,2636300
5495,2635500
14465,2632400
6227,2631700
2145,2627900
24110,2627000
10926,2626700
26247,2626600
25078,2626500
5522,2626200
13442,2625000
1579,2624800
6188,2623400
4728,2622700
1575,2622000
30561,2620100
19532,2619300
1549,2619200
19543,2619100
25275,2615700
2156,2614100
13460,2613300
5514,2613100
24140,2612900
18005,2610600
1205,2609000
26245,2607600
30552,2606400
1212,2605200
24115,2602600
5509,2598800
18020,2597400
4206,2594800
10065,2594000
10075,2594000
10083,2594000
10089,2594000
10093,2594000
10100,2594000
10101,2594000
10109,2594000
10120,2594000
1567,2593400
20860,2593300
20878,2593300
2122,2592100
2149,2592100
7731,2591600
1597,2590500
1558,2590300
13476,2589600
5499,2589500
5510,2589400
13491,2589300
5516,2588500
7166,2584300
30564,2580800
2160,2580500
24105,2579300
2110,2578600
17487,2578600
2129,2578500
13494,2577800
10067,2577400
10073,2577400
10097,2577400
10113,2577400
13449,2575600
4237,2575600
26575,2575600
26610,2575400
17475,2574500
1206,2570800
20865,2567500
17489,2566900
1340,2566800
24123,2566400
13469,2565900
5488,2565300
20885,2564800
13457,2564800
13501,2564800
1546,2564600
1557,2564600
10068,2560800
2146,2558500
20243,2556500
24134,2556300
2138,2556200
2147,2555200
30543,2553500
5546,2553000
2124,2545000
2115,2544700
14641,2544200
10096,2544200
10121,2544200
2131,2543600
27589,2543600
5357,2543400
30825,2542500
24136,2542200
6190,2540400
1199,2540300
4724,2539800
30527,2539800
18025,2537400
1266,2537400
20898,2536000
20883,2535900
4127,2535500
2125,2534300
7079,2534000
7089,2534000
26886,2534000
26894,2534000
26897,2534000
26904,2534000
26930,2534000
26934,2534000
10928,2529000
5492,2528500
26161,2527700
13464,2527200
1367,2524900
1354,2524800
26579,2524000
30528,2523800
24098,2522700
27632,2521500
27636,2521400
2114,2521400
13489,2519000
5528,2518700
4253,2517700
25271,2513300
25095,2511900
24128,2511200
4198,2511200
24102,2511000
11866,2509800
25085,2508900
24131,2507600
20844,2504600
20855,2504400
14457,2503200
19921,2502800
1162,2501900
20872,2501500
7074,2501200
26911,2501200
30566,2500200
2159,2500100
7062,2499600
24109,2498200
27023,2497900
18269,2496200
19922,2496100
5524,2496100
10119,2494500
2492,2492500
9918,2492000
26241,2490000
26277,2490000
24088,2486400
30550,2485500
26887,2484800
7056,2484800
5518,2483700
7760,2483600
1599,2481300
28648,2480100
28691,2480100
20873,2478500
18526,2478000
10070,2477900
18018,2477400
20888,2475800
20858,2475700
1385,2475500
1253,2470800
5504,2470600
5534,2469500
7045,2468400
7073,2468400
7078,2468400
30821,2468200
6001,2464100
17500,2463800
14606,2461400
13444,2460100
10690,2459700
6832,2459700
28672,2459700
28677,2459700
28687,2459700
17460,2459500
25053,2458900
5523,2458900
13445,2457600
6185,2457300
13468,2456600
1163,2455700
1402,2454500
17004,2453100
26601,2453100
26901,2452000
1386,2452000
2163,2452000
20891,2450100
6187,2448800
5494,2447600
1578,2447200
5501,2447200
4224,2446700
10102,2444800
10094,2444600
10920,2443200
2452,2442900
10688,2439300
10691,2439300
10700,2439300
28696,2439300
13479,2437600
7055,2435700
26937,2435700
7048,2435600
7083,2435600
26938,2434000
24096,2431100
17455,2429100
2126,2428800
1398,2428600
10079,2428100
1566,2423900
5520,2423500
13466,2423200
13492,2423200
19920,2422300
26907,2419300
7032,2419200
7035,2419200
7059,2419200
7088,2419200
10686,2418900
28662,2418900
28666,2418900
28675,2418900
26902,2417600
28668,2416800
10893,2412300
14617,2411500
14632,2411400
17994,2410800
1265,2410800
14613,2410000
14600,2409800
14618,2409800
30630,2409200
11845,2407400
24116,2406600
13848,2406500
24086,2406000
26490,2405100
26932,2402900
7049,2402900
7071,2402900
7053,2402800
26931,2402800
26890,2401400
7040,2401200
30562,2399600
28667,2398500
28708,2398500
10707,2398500
14595,2393400
14625,2393400
1552,2392600
20850,2392400
7767,2391600
2233,2389100
26616,2388700
13487,2388100
7076,2384900
18541,2381800
1352,2381700
27043,2379100
10087,2378400
14636,2378300
10728,2378100
28650,2378000
10116,2376800
6829,2375300
27623,2374800
19564,2374100
30572,2373900
2130,2371000
26920,2370200
26933,2370100
26922,2368600
7069,2368400
1548,2366800
30565,2362800
14621,2361800
14644,2361800
17008,2361700
10072,2361700
30888,2360400
1409,2360400
14629,2360100
10723,2357700
10708,2357600
10709,2357600
28707,2357600
28699,2357500
10693,2355600
10694,2355500
27042,2353400
7033,2352200
13502,2351700
17505,2348700
10880,2347900
10062,2345300
10092,2345200
14616,2345200
14642,2345200
14639,2345000
