flight_id,total_seats,occupied_seats,occupancy_rate
302,305,305,100.0000
305,365,365,100.0000
306,146,146,100.0000
307,133,133,100.0000
308,149,149,100.0000
312,151,151,100.0000
313,160,160,100.0000
315,117,117,100.0000
317,146,146,100.0000
320,100,100,100.0000
321,147,147,100.0000
324,132,132,100.0000
326,75,75,100.0000
328,137,137,100.0000
331,60,60,100.0000
332,153,153,100.0000
333,70,70,100.0000
335,143,143,100.0000
339,144,144,100.0000
340,77,77,100.0000
342,146,146,100.0000
344,59,59,100.0000
346,151,151,100.0000
351,161,161,100.0000
352,73,73,100.0000
355,155,155,100.0000
356,152,152,100.0000
357,144,144,100.0000
358,74,74,100.0000
362,133,133,100.0000
363,62,62,100.0000
364,133,133,100.0000
365,166,166,100.0000
370,43,43,100.0000
371,90,90,100.0000
372,87,87,100.0000
374,77,77,100.0000
375,81,81,100.0000
376,56,56,100.0000
377,85,85,100.0000
381,74,74,100.0000
382,54,54,100.0000
383,85,85,100.0000
385,97,97,100.0000
387,56,56,100.0000
388,76,76,100.0000
391,70,70,100.0000
392,55,55,100.0000
396,97,97,100.0000
397,74,74,100.0000
399,53,53,100.0000
403,85,85,100.0000
404,55,55,100.0000
405,85,85,100.0000
409,77,77,100.0000
411,64,64,100.0000
412,93,93,100.0000
414,80,80,100.0000
416,64,64,100.0000
418,76,76,100.0000
422,96,96,100.0000
423,69,69,100.0000
425,69,69,100.0000
427,75,75,100.0000
429,140,140,100.0000
430,141,141,100.0000
433,131,131,100.0000
434,138,138,100.0000
435,138,138,100.0000
436,132,132,100.0000
438,113,113,100.0000
440,92,92,100.0000
441,147,147,100.0000
442,143,143,100.0000
443,97,97,100.0000
447,124,124,100.0000
451,105,105,100.0000
453,144,144,100.0000
455,122,122,100.0000
458,148,148,100.0000
461,117,117,100.0000
462,150,150,100.0000
465,90,90,100.0000
469,136,136,100.0000
470,152,152,100.0000
471,114,114,100.0000
473,148,148,100.0000
474,170,170,100.0000
475,97,97,100.0000
476,147,147,100.0000
478,78,78,100.0000
479,156,156,100.0000
480,144,144,100.0000
482,133,133,100.0000
487,89,89,100.0000
491,53,53,100.0000
505,48,48,100.0000
507,65,65,100.0000
508,74,74,100.0000
512,58,58,100.0000
513,64,64,100.0000
516,49,49,100.0000
518,65,65,100.0000
519,69,69,100.0000
525,52,52,100.0000
526,62,62,100.0000
531,54,54,100.0000
533,52,52,100.0000
534,70,70,100.0000
536,55,55,100.0000
544,56,56,100.0000
545,54,54,100.0000
551,54,54,100.0000
555,74,74,100.0000
560,51,51,100.0000
566,48,48,100.0000
567,48,48,100.0000
570,59,59,100.0000
582,47,47,100.0000
585,54,54,100.0000
588,58,58,100.0000
590,37,37,100.0000
592,57,57,100.0000
595,53,53,100.0000
596,55,55,100.0000
599,48,48,100.0000
615,25,25,100.0000
616,15,15,100.0000
619,26,26,100.0000
620,17,17,100.0000
622,23,23,100.0000
623,23,23,100.0000
625,25,25,100.0000
628,25,25,100.0000
630,21,21,100.0000
634,27,27,100.0000
635,26,26,100.0000
640,24,24,100.0000
642,16,16,100.0000
644,20,20,100.0000
645,20,20,100.0000
646,21,21,100.0000
647,24,24,100.0000
648,15,15,100.0000
650,24,24,100.0000
651,19,19,100.0000
658,16,16,100.0000
659,22,22,100.0000
661,23,23,100.0000
662,23,23,100.0000
663,17,17,100.0000
665,15,15,100.0000
666,15,15,100.0000
667,23,23,100.0000
668,23,23,100.0000
669,16,16,100.0000
670,29,29,100.0000
672,12,12,100.0000
674,4,4,100.0000
680,2,2,100.0000
682,3,3,100.0000
685,7,7,100.0000
695,11,11,100.0000
697,5,5,100.0000
702,7,7,100.0000
709,11,11,100.0000
711,8,8,100.0000
712,8,8,100.0000
713,11,11,100.0000
718,11,11,100.0000
724,9,9,100.0000
726,10,10,100.0000
728,4,4,100.0000
733,3,3,100.0000
735,7,7,100.0000
737,11,11,100.0000
754,7,7,100.0000
767,4,4,100.0000
768,6,6,100.0000
770,11,11,100.0000
771,11,11,100.0000
774,9,9,100.0000
780,8,8,100.0000
781,11,11,100.0000
786,11,11,100.0000
787,9,9,100.0000
793,10,10,100.0000
795,10,10,100.0000
796,14,14,100.0000
797,13,13,100.0000
798,9,9,100.0000
800,10,10,100.0000
801,13,13,100.0000
806,8,8,100.0000
808,11,11,100.0000
809,16,16,100.0000
811,10,10,100.0000
816,12,12,100.0000
818,13,13,100.0000
819,12,12,100.0000
821,9,9,100.0000
823,9,9,100.0000
824,8,8,100.0000
828,10,10,100.0000
829,17,17,100.0000
830,13,13,100.0000
834,12,12,100.0000
835,13,13,100.0000
837,12,12,100.0000
838,12,12,100.0000
840,17,17,100.0000
841,12,12,100.0000
842,8,8,100.0000
843,15,15,100.0000
849,13,13,100.0000
850,13,13,100.0000
851,12,12,100.0000
852,8,8,100.0000
855,12,12,100.0000
856,16,16,100.0000
860,16,16,100.0000
861,10,10,100.0000
862,9,9,100.0000
863,16,16,100.0000
865,16,16,100.0000
866,12,12,100.0000
870,11,11,100.0000
871,14,14,100.0000
875,14,14,100.0000
878,11,11,100.0000
879,16,16,100.0000
885,14,14,100.0000
886,17,17,100.0000
888,15,15,100.0000
889,18,18,100.0000
893,25,25,100.0000
894,11,11,100.0000
895,10,10,100.0000
897,10,10,100.0000
899,9,9,100.0000
902,14,14,100.0000
903,10,10,100.0000
904,11,11,100.0000
905,17,17,100.0000
906,15,15,100.0000
907,14,14,100.0000
910,19,19,100.0000
912,11,11,100.0000
914,14,14,100.0000
917,39,39,100.0000
919,37,37,100.0000
920,38,38,100.0000
923,29,29,100.0000
924,39,39,100.0000
925,40,40,100.0000
928,41,41,100.0000
929,38,38,100.0000
930,35,35,100.0000
931,28,28,100.0000
932,50,50,100.0000
938,37,37,100.0000
939,43,43,100.0000
940,31,31,100.0000
941,30,30,100.0000
942,45,45,100.0000
943,50,50,100.0000
944,41,41,100.0000
945,45,45,100.0000
947,48,48,100.0000
948,25,25,100.0000
950,31,31,100.0000
951,41,41,100.0000
953,37,37,100.0000
955,41,41,100.0000
957,37,37,100.0000
966,44,44,100.0000
970,29,29,100.0000
971,50,50,100.0000
972,36,36,100.0000
975,44,44,100.0000
1040,132,132,100.0000
1045,146,146,100.0000
1046,29,29,100.0000
1047,53,53,100.0000
1049,133,133,100.0000
1050,27,27,100.0000
1051,140,140,100.0000
1057,124,124,100.0000
1060,136,136,100.0000
1061,139,139,100.0000
1062,151,151,100.0000
1063,156,156,100.0000
1064,120,120,100.0000
1065,119,119,100.0000
1066,95,95,100.0000
1067,132,132,100.0000
1068,127,127,100.0000
1071,136,136,100.0000
1072,148,148,100.0000
1076,25,25,100.0000
1077,37,37,100.0000
1078,144,144,100.0000
1079,148,148,100.0000
1081,30,30,100.0000
1083,62,62,100.0000
1086,137,137,100.0000
1089,142,142,100.0000
1090,22,22,100.0000
1091,30,30,100.0000
1094,134,134,100.0000
1097,144,144,100.0000
1101,16,16,100.0000
1103,27,27,100.0000
1105,26,26,100.0000
1106,21,21,100.0000
1107,27,27,100.0000
1109,26,26,100.0000
1111,28,28,100.0000
1112,26,26,100.0000
1113,28,28,100.0000
1114,25,25,100.0000
1116,21,21,100.0000
1117,26,26,100.0000
1118,22,22,100.0000
1120,23,23,100.0000
1122,25,25,100.0000
1123,22,22,100.0000
1124,25,25,100.0000
1125,22,22,100.0000
1127,16,16,100.0000
1130,32,32,100.0000
1131,24,24,100.0000
1132,15,15,100.0000
1134,20,20,100.0000
1138,15,15,100.0000
1140,15,15,100.0000
1143,16,16,100.0000
1147,23,23,100.0000
1149,21,21,100.0000
1150,25,25,100.0000
1154,19,19,100.0000
1158,28,28,100.0000
1162,51,51,100.0000
1166,54,54,100.0000
1167,57,57,100.0000
1168,60,60,100.0000
1170,58,58,100.0000
1171,58,58,100.0000
1172,51,51,100.0000
1174,65,65,100.0000
1175,62,62,100.0000
1177,55,55,100.0000
1182,57,57,100.0000
1183,56,56,100.0000
1184,55,55,100.0000
1186,56,56,100.0000
1188,56,56,100.0000
1194,51,51,100.0000
1196,60,60,100.0000
1197,59,59,100.0000
1198,51,51,100.0000
1199,50,50,100.0000
1201,58,58,100.0000
1202,59,59,100.0000
1203,58,58,100.0000
1209,61,61,100.0000
1211,64,64,100.0000
1212,52,52,100.0000
1213,55,55,100.0000
1214,15,15,100.0000
1217,66,66,100.0000
1219,50,50,100.0000
1220,62,62,100.0000
1249,42,42,100.0000
1250,39,39,100.0000
1252,31,31,100.0000
1253,29,29,100.0000
1254,47,47,100.0000
1255,50,50,100.0000
1258,52,52,100.0000
1259,50,50,100.0000
1260,48,48,100.0000
1262,43,43,100.0000
1266,30,30,100.0000
1267,40,40,100.0000
1269,45,45,100.0000
1272,50,50,100.0000
1274,35,35,100.0000
1277,39,39,100.0000
1278,57,57,100.0000
1281,41,41,100.0000
1284,50,50,100.0000
1287,32,32,100.0000
1289,46,46,100.0000
1290,38,38,100.0000
1294,41,41,100.0000
1295,39,39,100.0000
1296,46,46,100.0000
1301,48,48,100.0000
1302,32,32,100.0000
1303,52,52,100.0000
1304,1,1,100.0000
1305,39,39,100.0000
1306,47,47,100.0000
1308,58,58,100.0000
1310,92,92,100.0000
1311,65,65,100.0000
1313,44,44,100.0000
1314,63,63,100.0000
1315,43,43,100.0000
1317,70,70,100.0000
1319,95,95,100.0000
1321,63,63,100.0000
1322,66,66,100.0000
1324,97,97,100.0000
1326,62,62,100.0000
1332,52,52,100.0000
1335,73,73,100.0000
1338,63,63,100.0000
1339,63,63,100.0000
1341,42,42,100.0000
1342,92,92,100.0000
1343,84,84,100.0000
1344,52,52,100.0000
1345,62,62,100.0000
1350,62,62,100.0000
1352,81,81,100.0000
1353,52,52,100.0000
1357,48,48,100.0000
1361,57,57,100.0000
1365,52,52,100.0000
1367,85,85,100.0000
1368,49,49,100.0000
1371,66,66,100.0000
1372,74,74,100.0000
1374,65,65,100.0000
1375,70,70,100.0000
1377,74,74,100.0000
1381,73,73,100.0000
1384,53,53,100.0000
1385,81,81,100.0000
1388,76,76,100.0000
1390,73,73,100.0000
1391,69,69,100.0000
1393,52,52,100.0000
1394,64,64,100.0000
1395,52,52,100.0000
1396,61,61,100.0000
1397,68,68,100.0000
1398,81,81,100.0000
1400,73,73,100.0000
1401,71,71,100.0000
1403,66,66,100.0000
1406,73,73,100.0000
1407,75,75,100.0000
1408,65,65,100.0000
1409,78,78,100.0000
1412,27,27,100.0000
1414,58,58,100.0000
1416,70,70,100.0000
1418,73,73,100.0000
1419,71,71,100.0000
1420,36,36,100.0000
1424,72,72,100.0000
1425,72,72,100.0000
1429,19,19,100.0000
1430,10,10,100.0000
1432,82,82,100.0000
1435,47,47,100.0000
1436,71,71,100.0000
1437,73,73,100.0000
1439,75,75,100.0000
1440,71,71,100.0000
1441,73,73,100.0000
1442,72,72,100.0000
1443,16,16,100.0000
1445,72,72,100.0000
1449,31,31,100.0000
1450,72,72,100.0000
1451,73,73,100.0000
1452,20,20,100.0000
1453,72,72,100.0000
1454,33,33,100.0000
1458,47,47,100.0000
1462,65,65,100.0000
1466,73,73,100.0000
1467,72,72,100.0000
1469,71,71,100.0000
1474,41,41,100.0000
1475,65,65,100.0000
1478,7,7,100.0000
1479,33,33,100.0000
1481,58,58,100.0000
1482,98,98,100.0000
1483,104,104,100.0000
1484,92,92,100.0000
1486,72,72,100.0000
1487,101,101,100.0000
1490,91,91,100.0000
1491,97,97,100.0000
1493,104,104,100.0000
1494,63,63,100.0000
1495,100,100,100.0000
1498,89,89,100.0000
1499,60,60,100.0000
1501,97,97,100.0000
1502,58,58,100.0000
1503,108,108,100.0000
1508,44,44,100.0000
1510,57,57,100.0000
1512,104,104,100.0000
1514,106,106,100.0000
1515,87,87,100.0000
1518,76,76,100.0000
1521,62,62,100.0000
1525,84,84,100.0000
1526,106,106,100.0000
1527,107,107,100.0000
1529,115,115,100.0000
1530,91,91,100.0000
1531,108,108,100.0000
1537,106,106,100.0000
1539,102,102,100.0000
1540,100,100,100.0000
1545,76,76,100.0000
1546,71,71,100.0000
1548,70,70,100.0000
1549,73,73,100.0000
1550,76,76,100.0000
1552,69,69,100.0000
1553,82,82,100.0000
1554,78,78,100.0000
1555,80,80,100.0000
1557,71,71,100.0000
1558,68,68,100.0000
1563,73,73,100.0000
1566,66,66,100.0000
1567,74,74,100.0000
1570,84,84,100.0000
1572,79,79,100.0000
1574,74,74,100.0000
1575,73,73,100.0000
1576,74,74,100.0000
1578,71,71,100.0000
1579,73,73,100.0000
1581,77,77,100.0000
1582,75,75,100.0000
1585,83,83,100.0000
1586,85,85,100.0000
1592,79,79,100.0000
1593,76,76,100.0000
1594,67,67,100.0000
1595,82,82,100.0000
1596,82,82,100.0000
1599,68,68,100.0000
1604,15,15,100.0000
1605,15,15,100.0000
1608,15,15,100.0000
1610,17,17,100.0000
1611,1,1,100.0000
1613,35,35,100.0000
1614,17,17,100.0000
1615,18,18,100.0000
1616,33,33,100.0000
1617,23,23,100.0000
1620,24,24,100.0000
1622,22,22,100.0000
1624,26,26,100.0000
1629,22,22,100.0000
1631,36,36,100.0000
1632,27,27,100.0000
1635,19,19,100.0000
1637,24,24,100.0000
1640,78,78,100.0000
1641,89,89,100.0000
1642,42,42,100.0000
1643,77,77,100.0000
1644,44,44,100.0000
1646,75,75,100.0000
1647,75,75,100.0000
1650,72,72,100.0000
1651,78,78,100.0000
1653,82,82,100.0000
1654,47,47,100.0000
1656,89,89,100.0000
1657,82,82,100.0000
1658,80,80,100.0000
1661,76,76,100.0000
1664,43,43,100.0000
1669,53,53,100.0000
1672,78,78,100.0000
1675,95,95,100.0000
1676,87,87,100.0000
1677,72,72,100.0000
1678,95,95,100.0000
1681,82,82,100.0000
1683,52,52,100.0000
1687,86,86,100.0000
1688,88,88,100.0000
1689,86,86,100.0000
1694,86,86,100.0000
1695,41,41,100.0000
1697,76,76,100.0000
1698,72,72,100.0000
1709,57,57,100.0000
1712,57,57,100.0000
1714,62,62,100.0000
1715,57,57,100.0000
1716,62,62,100.0000
1717,61,61,100.0000
1719,62,62,100.0000
1720,62,62,100.0000
1723,59,59,100.0000
1726,61,61,100.0000
1728,62,62,100.0000
1729,60,60,100.0000
1731,64,64,100.0000
1733,61,61,100.0000
1735,61,61,100.0000
1738,52,52,100.0000
1739,59,59,100.0000
1740,60,60,100.0000
1741,60,60,100.0000
1747,60,60,100.0000
1749,71,71,100.0000
1750,59,59,100.0000
1753,61,61,100.0000
1754,62,62,100.0000
1756,58,58,100.0000
1758,62,62,100.0000
1760,57,57,100.0000
1764,55,55,100.0000
1767,58,58,100.0000
1768,60,60,100.0000
1769,56,56,100.0000
1786,90,90,100.0000
1787,84,84,100.0000
1793,79,79,100.0000
1795,81,81,100.0000
1798,4,4,100.0000
1800,14,14,100.0000
1803,7,7,100.0000
1804,20,20,100.0000
1809,77,77,100.0000
1814,75,75,100.0000
1818,86,86,100.0000
1819,7,7,100.0000
1821,58,58,100.0000
1826,57,57,100.0000
1828,88,88,100.0000
1832,77,77,100.0000
1833,83,83,100.0000
1839,75,75,100.0000
1842,97,97,100.0000
1845,84,84,100.0000
1846,5,5,100.0000
1847,70,70,100.0000
1848,85,85,100.0000
1851,74,74,100.0000
1852,24,24,100.0000
1855,10,10,100.0000
1857,88,88,100.0000
1870,87,87,100.0000
1879,83,83,100.0000
1881,87,87,100.0000
1884,85,85,100.0000
1892,14,14,100.0000
1895,16,16,100.0000
1898,16,16,100.0000
1899,19,19,100.0000
1902,15,15,100.0000
1903,14,14,100.0000
1904,14,14,100.0000
1909,15,15,100.0000
1911,17,17,100.0000
1913,17,17,100.0000
1914,17,17,100.0000
1916,21,21,100.0000
1922,23,23,100.0000
1923,15,15,100.0000
1924,22,22,100.0000
1925,19,19,100.0000
1928,17,17,100.0000
1929,16,16,100.0000
1930,19,19,100.0000
1934,22,22,100.0000
1936,26,26,100.0000
1937,20,20,100.0000
1939,20,20,100.0000
1940,17,17,100.0000
1941,19,19,100.0000
1942,14,14,100.0000
1943,13,13,100.0000
1945,16,16,100.0000
1948,18,18,100.0000
1949,23,23,100.0000
1952,22,22,100.0000
1955,37,37,100.0000
1956,49,49,100.0000
1957,37,37,100.0000
1959,42,42,100.0000
1965,34,34,100.0000
1967,46,46,100.0000
1969,49,49,100.0000
1970,32,32,100.0000
1972,49,49,100.0000
1973,43,43,100.0000
1975,47,47,100.0000
1976,45,45,100.0000
1978,46,46,100.0000
1979,48,48,100.0000
1980,40,40,100.0000
1981,44,44,100.0000
1982,30,30,100.0000
1986,50,50,100.0000
1987,50,50,100.0000
1990,46,46,100.0000
1991,42,42,100.0000
1994,37,37,100.0000
1996,36,36,100.0000
1999,33,33,100.0000
2000,45,45,100.0000
2003,40,40,100.0000
2006,50,50,100.0000
2007,44,44,100.0000
2010,28,28,100.0000
2012,40,40,100.0000
2013,45,45,100.0000
2015,34,34,100.0000
2016,35,35,100.0000
2017,34,34,100.0000
2019,34,34,100.0000
2020,33,33,100.0000
2023,34,34,100.0000
2026,34,34,100.0000
2031,34,34,100.0000
2032,34,34,100.0000
2034,34,34,100.0000
2035,32,32,100.0000
2037,34,34,100.0000
2039,34,34,100.0000
2040,35,35,100.0000
2042,35,35,100.0000
2045,33,33,100.0000
2050,35,35,100.0000
2051,35,35,100.0000
2052,32,32,100.0000
2053,33,33,100.0000
2054,34,34,100.0000
2055,34,34,100.0000
2057,35,35,100.0000
2059,36,36,100.0000
2062,34,34,100.0000
2064,33,33,100.0000
2065,33,33,100.0000
2069,34,34,100.0000
2070,33,33,100.0000
2072,33,33,100.0000
2074,34,34,100.0000
2075,20,20,100.0000
2077,27,27,100.0000
2079,9,9,100.0000
2082,40,40,100.0000
2083,18,18,100.0000
2085,27,27,100.0000
2089,45,45,100.0000
2091,27,27,100.0000
2092,44,44,100.0000
2093,25,25,100.0000
2096,31,31,100.0000
2098,32,32,100.0000
2099,24,24,100.0000
2100,32,32,100.0000
2112,140,140,100.0000
2113,121,121,100.0000
2114,169,169,100.0000
2115,173,173,100.0000
2116,146,146,100.0000
2118,140,140,100.0000
2120,184,184,100.0000
2124,179,179,100.0000
2125,174,174,100.0000
2126,165,165,100.0000
2127,188,188,100.0000
2130,164,164,100.0000
2131,173,173,100.0000
2134,197,197,100.0000
2138,172,172,100.0000
2139,174,174,100.0000
2140,120,120,100.0000
2142,120,120,100.0000
2146,174,174,100.0000
2147,174,174,100.0000
2148,179,179,100.0000
2152,125,125,100.0000
2153,121,121,100.0000
2154,185,185,100.0000
2156,175,175,100.0000
2157,121,121,100.0000
2160,174,174,100.0000
2161,152,152,100.0000
2166,184,184,100.0000
2168,193,193,100.0000
2169,203,203,100.0000
2171,17,17,100.0000
2172,23,23,100.0000
2173,22,22,100.0000
2175,15,15,100.0000
2177,22,22,100.0000
2178,25,25,100.0000
2179,27,27,100.0000
2181,27,27,100.0000
2183,20,20,100.0000
2185,20,20,100.0000
2186,16,16,100.0000
2189,27,27,100.0000
2192,34,34,100.0000
2196,16,16,100.0000
2199,15,15,100.0000
2200,29,29,100.0000
2201,26,26,100.0000
2202,25,25,100.0000
2204,25,25,100.0000
2205,23,23,100.0000
2208,25,25,100.0000
2209,22,22,100.0000
2211,23,23,100.0000
2213,28,28,100.0000
2214,27,27,100.0000
2218,16,16,100.0000
2220,25,25,100.0000
2225,21,21,100.0000
2227,28,28,100.0000
2229,20,20,100.0000
2231,17,17,100.0000
2233,66,66,100.0000
2237,39,39,100.0000
2239,42,42,100.0000
2240,26,26,100.0000
2242,49,49,100.0000
2243,38,38,100.0000
2246,39,39,100.0000
2248,62,62,100.0000
2249,37,37,100.0000
2252,46,46,100.0000
2254,36,36,100.0000
2255,28,28,100.0000
2256,36,36,100.0000
2259,87,87,100.0000
2261,61,61,100.0000
2262,94,94,100.0000
2263,94,94,100.0000
2265,89,89,100.0000
2267,96,96,100.0000
2270,90,90,100.0000
2272,90,90,100.0000
2275,76,76,100.0000
2277,69,69,100.0000
2281,90,90,100.0000
2283,88,88,100.0000
2284,88,88,100.0000
2287,63,63,100.0000
2288,92,92,100.0000
2291,91,91,100.0000
2294,48,48,100.0000
2297,86,86,100.0000
2298,56,56,100.0000
2299,49,49,100.0000
2300,81,81,100.0000
2303,91,91,100.0000
2305,96,96,100.0000
2306,74,74,100.0000
2307,81,81,100.0000
2308,64,64,100.0000
2310,66,66,100.0000
2312,78,78,100.0000
2313,85,85,100.0000
2314,84,84,100.0000
2318,82,82,100.0000
2319,194,194,100.0000
2322,211,211,100.0000
2323,128,128,100.0000
2324,141,141,100.0000
2325,211,211,100.0000
2326,202,202,100.0000
2329,216,216,100.0000
2330,216,216,100.0000
2331,152,152,100.0000
2332,211,211,100.0000
2335,145,145,100.0000
2336,203,203,100.0000
2338,209,209,100.0000
2342,132,132,100.0000
2343,201,201,100.0000
2346,196,196,100.0000
2348,208,208,100.0000
2349,205,205,100.0000
2350,175,175,100.0000
2351,209,209,100.0000
2354,218,218,100.0000
2355,208,208,100.0000
2356,202,202,100.0000
2358,202,202,100.0000
2361,141,141,100.0000
2362,161,161,100.0000
2365,176,176,100.0000
2370,135,135,100.0000
2373,203,203,100.0000
2376,183,183,100.0000
2381,29,29,100.0000
2382,38,38,100.0000
2383,35,35,100.0000
2391,44,44,100.0000
2394,38,38,100.0000
2395,38,38,100.0000
2398,26,26,100.0000
2399,41,41,100.0000
2402,25,25,100.0000
2403,41,41,100.0000
2404,29,29,100.0000
2405,35,35,100.0000
2406,25,25,100.0000
2407,40,40,100.0000
2408,31,31,100.0000
2410,36,36,100.0000
2412,26,26,100.0000
2413,35,35,100.0000
2414,37,37,100.0000
2416,36,36,100.0000
2418,37,37,100.0000
2420,31,31,100.0000
2422,39,39,100.0000
2424,42,42,100.0000
2426,35,35,100.0000
2428,32,32,100.0000
2429,47,47,100.0000
2431,25,25,100.0000
2432,38,38,100.0000
2435,32,32,100.0000
2436,28,28,100.0000
2442,36,36,100.0000
2445,49,49,100.0000
2446,46,46,100.0000
2447,61,61,100.0000
2448,84,84,100.0000
2450,50,50,100.0000
2453,52,52,100.0000
2454,81,81,100.0000
2456,47,47,100.0000
2458,51,51,100.0000
2461,80,80,100.0000
2462,33,33,100.0000
2464,56,56,100.0000
2468,47,47,100.0000
2469,43,43,100.0000
2472,72,72,100.0000
2473,50,50,100.0000
2477,59,59,100.0000
2478,47,47,100.0000
2479,63,63,100.0000
2480,46,46,100.0000
2484,81,81,100.0000
2485,15,15,100.0000
2486,30,30,100.0000
2487,39,39,100.0000
2490,47,47,100.0000
2491,32,32,100.0000
2494,16,16,100.0000
2495,19,19,100.0000
2496,23,23,100.0000
2497,25,25,100.0000
2498,18,18,100.0000
2500,18,18,100.0000
2502,23,23,100.0000
2503,23,23,100.0000
2508,26,26,100.0000
2509,16,16,100.0000
2512,29,29,100.0000
2515,24,24,100.0000
2516,20,20,100.0000
2517,14,14,100.0000
2520,14,14,100.0000
2521,21,21,100.0000
2524,22,22,100.0000
2525,15,15,100.0000
2527,20,20,100.0000
2529,25,25,100.0000
2534,27,27,100.0000
2536,20,20,100.0000
2538,20,20,100.0000
2540,14,14,100.0000
2541,19,19,100.0000
2542,21,21,100.0000
2543,18,18,100.0000
2545,19,19,100.0000
2546,15,15,100.0000
2548,23,23,100.0000
2553,19,19,100.0000
2557,5,5,100.0000
2558,3,3,100.0000
2560,3,3,100.0000
2561,5,5,100.0000
2562,1,1,100.0000
2563,4,4,100.0000
2564,7,7,100.0000
2569,3,3,100.0000
2572,4,4,100.0000
2573,2,2,100.0000
2575,4,4,100.0000
2577,4,4,100.0000
2578,1,1,100.0000
2585,5,5,100.0000
2589,4,4,100.0000
2590,4,4,100.0000
2591,4,4,100.0000
2593,4,4,100.0000
2596,1,1,100.0000
2598,2,2,100.0000
2600,5,5,100.0000
2606,2,2,100.0000
2612,3,3,100.0000
2613,2,2,100.0000
2614,3,3,100.0000
2616,3,3,100.0000
2617,5,5,100.0000
2618,4,4,100.0000
2622,3,3,100.0000
2623,1,1,100.0000
2627,4,4,100.0000
2628,4,4,100.0000
2629,2,2,100.0000
2630,3,3,100.0000
2631,1,1,100.0000
2633,2,2,100.0000
2636,4,4,100.0000
2637,4,4,100.0000
2638,4,4,100.0000
2643,5,5,100.0000
2644,4,4,100.0000
2648,1,1,100.0000
2649,4,4,100.0000
2650,3,3,100.0000
2655,4,4,100.0000
2656,3,3,100.0000
2658,4,4,100.0000
2661,4,4,100.0000
2662,4,4,100.0000
2670,1,1,100.0000
2671,4,4,100.0000
2672,4,4,100.0000
2704,10,10,100.0000
2705,7,7,100.0000
2708,10,10,100.0000
2709,5,5,100.0000
2711,6,6,100.0000
2715,5,5,100.0000
2717,5,5,100.0000
2718,4,4,100.0000
2720,4,4,100.0000
2722,6,6,100.0000
2723,8,8,100.0000
2725,5,5,100.0000
2726,9,9,100.0000
2731,10,10,100.0000
2732,7,7,100.0000
2734,3,3,100.0000
2738,6,6,100.0000
2739,3,3,100.0000
2740,6,6,100.0000
2743,7,7,100.0000
2745,5,5,100.0000
2746,8,8,100.0000
2747,10,10,100.0000
2748,7,7,100.0000
2751,11,11,100.0000
2752,8,8,100.0000
2753,8,8,100.0000
2754,7,7,100.0000
2757,7,7,100.0000
2758,5,5,100.0000
2760,6,6,100.0000
2765,79,79,100.0000
2766,86,86,100.0000
2767,56,56,100.0000
2769,67,67,100.0000
2770,83,83,100.0000
2771,57,57,100.0000
2772,90,90,100.0000
2774,84,84,100.0000
2777,85,85,100.0000
2784,88,88,100.0000
2785,67,67,100.0000
2786,79,79,100.0000
2792,75,75,100.0000
2793,90,90,100.0000
2796,53,53,100.0000
2797,60,60,100.0000
2800,76,76,100.0000
2801,88,88,100.0000
2802,76,76,100.0000
2803,57,57,100.0000
2804,80,80,100.0000
